Time,Grade,Q1,Q2,Q3,Q4,Q5
5 mins,0,-5,20,-5,-5,-5
2 mins 40 secs,0,-5,-5,20,-5,-5
3 mins 29 secs,0,-5,-5,20,-5,-5
4 mins 53 secs,0,-5,-5,-5,-5,20
4 mins 41 secs,0,-5,-5,20,-5,-5
4 mins 53 secs,0,-5,-5,-5,20,-5
3 mins 30 secs,0,-5,20,-5,-5,-5
2 mins 51 secs,0,-5,20,-5,-5,-5
2 mins 57 secs,0,-5,20,-5,-5,-5
2 mins 37 secs,0,-5,-5,20,-5,-5
2 mins 48 secs,0,-5,-5,20,-5,-5
26 secs,0,-,-,-,-,-
3 mins 5 secs,-15,-5,-5,-5,-,0
3 mins 46 secs,-20,-5,-5,-5,-5,0
4 mins 41 secs,-20,-5,-5,-5,-5,0
4 mins 44 secs,-20,-5,-5,-5,-,-5
1 min 18 secs,-25,-5,-5,-5,-5,-5
5 mins 1 sec,-25,-5,-5,-5,-5,-5
1 min 49 secs,-25,-5,-5,-5,-5,-5
3 mins 34 secs,-25,-5,-5,-5,-5,-5
4 mins 13 secs,-25,-5,-5,-5,-5,-5
2 mins 18 secs,-25,-5,-5,-5,-5,-5
1 min 51 secs,-25,-5,-5,-5,-5,-5
3 mins 31 secs,-25,-5,-5,-5,-5,-5
2 mins 43 secs,-25,-5,-5,-5,-5,-5
3 mins 49 secs,-25,-5,-5,-5,-5,-5
1 min 36 secs,-25,-5,-5,-5,-5,-5
3 mins 23 secs,-25,-5,-5,-5,-5,-5
4 mins 42 secs,-25,-5,-5,-5,-5,-5
2 mins,-25,-5,-5,-5,-5,-5
2 mins 17 secs,-25,-5,-5,-5,-5,-5
4 mins 26 secs,-25,-5,-5,-5,-5,-5
40 secs,-25,-5,-5,-5,-5,-5
1 min 1 sec,-25,-5,-5,-5,-5,-5
3 mins 59 secs,-25,-5,-5,-5,-5,-5
4 mins 5 secs,-25,-5,-5,-5,-5,-5
3 mins 23 secs,-25,-5,-5,-5,-5,-5
3 mins 48 secs,-25,-5,-5,-5,-5,-5
2 mins 46 secs,-25,-5,-5,-5,-5,-5
2 mins 1 sec,-25,-5,-5,-5,-5,-5
